config_id,testFile,api,transferSize,blockSize,segmentCount,numTasks,filePerProc,useStridedDatatype,setAlignment,useO_DIRECT,fsync,LUSTRE_STRIPE_SIZE,LUSTRE_STRIPE_WIDTH
00001,test00001,POSIX,4K,1M,1,4,0,0,4K,0,0,1M,1
00002,test00002,POSIX,4K,1M,1,4,0,0,4K,0,0,1M,4
00003,test00003,POSIX,4K,1M,1,4,0,0,4K,0,0,4M,1
00004,test00004,POSIX,4K,1M,1,4,0,0,4K,0,0,4M,4
00005,test00005,POSIX,4K,1M,1,4,0,0,4K,0,1,1M,1
00006,test00006,POSIX,4K,1M,1,4,0,0,4K,0,1,1M,4
00007,test00007,POSIX,4K,1M,1,4,0,0,4K,0,1,4M,1
00008,test00008,POSIX,4K,1M,1,4,0,0,4K,0,1,4M,4
00009,test00009,POSIX,4K,1M,1,4,0,0,4K,1,0,1M,1
00010,test00010,POSIX,4K,1M,1,4,0,0,4K,1,0,1M,4
00011,test00011,POSIX,4K,1M,1,4,0,0,4K,1,0,4M,1
00012,test00012,POSIX,4K,1M,1,4,0,0,4K,1,0,4M,4
00013,test00013,POSIX,4K,1M,1,4,0,0,4K,1,1,1M,1
00014,test00014,POSIX,4K,1M,1,4,0,0,4K,1,1,1M,4
00015,test00015,POSIX,4K,1M,1,4,0,0,4K,1,1,4M,1
00016,test00016,POSIX,4K,1M,1,4,0,0,4K,1,1,4M,4
00017,test00017,POSIX,4K,1M,1,4,0,0,1M,0,0,1M,1
00018,test00018,POSIX,4K,1M,1,4,0,0,1M,0,0,1M,4
00019,test00019,POSIX,4K,1M,1,4,0,0,1M,0,0,4M,1
00020,test00020,POSIX,4K,1M,1,4,0,0,1M,0,0,4M,4
00021,test00021,POSIX,4K,1M,1,4,0,0,1M,0,1,1M,1
00022,test00022,POSIX,4K,1M,1,4,0,0,1M,0,1,1M,4
00023,test00023,POSIX,4K,1M,1,4,0,0,1M,0,1,4M,1
00024,test00024,POSIX,4K,1M,1,4,0,0,1M,0,1,4M,4
00025,test00025,POSIX,4K,1M,1,4,0,0,1M,1,0,1M,1
00026,test00026,POSIX,4K,1M,1,4,0,0,1M,1,0,1M,4
00027,test00027,POSIX,4K,1M,1,4,0,0,1M,1,0,4M,1
00028,test00028,POSIX,4K,1M,1,4,0,0,1M,1,0,4M,4
00029,test00029,POSIX,4K,1M,1,4,0,0,1M,1,1,1M,1
00030,test00030,POSIX,4K,1M,1,4,0,0,1M,1,1,1M,4
00031,test00031,POSIX,4K,1M,1,4,0,0,1M,1,1,4M,1
00032,test00032,POSIX,4K,1M,1,4,0,0,1M,1,1,4M,4
00033,test00033,POSIX,4K,1M,1,4,0,1,4K,0,0,1M,1
00034,test00034,POSIX,4K,1M,1,4,0,1,4K,0,0,1M,4
00035,test00035,POSIX,4K,1M,1,4,0,1,4K,0,0,4M,1
00036,test00036,POSIX,4K,1M,1,4,0,1,4K,0,0,4M,4
00037,test00037,POSIX,4K,1M,1,4,0,1,4K,0,1,1M,1
00038,test00038,POSIX,4K,1M,1,4,0,1,4K,0,1,1M,4
00039,test00039,POSIX,4K,1M,1,4,0,1,4K,0,1,4M,1
00040,test00040,POSIX,4K,1M,1,4,0,1,4K,0,1,4M,4
00041,test00041,POSIX,4K,1M,1,4,0,1,4K,1,0,1M,1
00042,test00042,POSIX,4K,1M,1,4,0,1,4K,1,0,1M,4
00043,test00043,POSIX,4K,1M,1,4,0,1,4K,1,0,4M,1
00044,test00044,POSIX,4K,1M,1,4,0,1,4K,1,0,4M,4
00045,test00045,POSIX,4K,1M,1,4,0,1,4K,1,1,1M,1
00046,test00046,POSIX,4K,1M,1,4,0,1,4K,1,1,1M,4
00047,test00047,POSIX,4K,1M,1,4,0,1,4K,1,1,4M,1
00048,test00048,POSIX,4K,1M,1,4,0,1,4K,1,1,4M,4
00049,test00049,POSIX,4K,1M,1,4,0,1,1M,0,0,1M,1
00050,test00050,POSIX,4K,1M,1,4,0,1,1M,0,0,1M,4
00051,test00051,POSIX,4K,1M,1,4,0,1,1M,0,0,4M,1
00052,test00052,POSIX,4K,1M,1,4,0,1,1M,0,0,4M,4
00053,test00053,POSIX,4K,1M,1,4,0,1,1M,0,1,1M,1
00054,test00054,POSIX,4K,1M,1,4,0,1,1M,0,1,1M,4
00055,test00055,POSIX,4K,1M,1,4,0,1,1M,0,1,4M,1
00056,test00056,POSIX,4K,1M,1,4,0,1,1M,0,1,4M,4
00057,test00057,POSIX,4K,1M,1,4,0,1,1M,1,0,1M,1
00058,test00058,POSIX,4K,1M,1,4,0,1,1M,1,0,1M,4
00059,test00059,POSIX,4K,1M,1,4,0,1,1M,1,0,4M,1
00060,test00060,POSIX,4K,1M,1,4,0,1,1M,1,0,4M,4
00061,test00061,POSIX,4K,1M,1,4,0,1,1M,1,1,1M,1
00062,test00062,POSIX,4K,1M,1,4,0,1,1M,1,1,1M,4
00063,test00063,POSIX,4K,1M,1,4,0,1,1M,1,1,4M,1
00064,test00064,POSIX,4K,1M,1,4,0,1,1M,1,1,4M,4
00065,test00065,POSIX,4K,1M,1,4,1,0,4K,0,0,1M,1
00066,test00066,POSIX,4K,1M,1,4,1,0,4K,0,0,1M,4
00067,test00067,POSIX,4K,1M,1,4,1,0,4K,0,0,4M,1
00068,test00068,POSIX,4K,1M,1,4,1,0,4K,0,0,4M,4
00069,test00069,POSIX,4K,1M,1,4,1,0,4K,0,1,1M,1
00070,test00070,POSIX,4K,1M,1,4,1,0,4K,0,1,1M,4
00071,test00071,POSIX,4K,1M,1,4,1,0,4K,0,1,4M,1
00072,test00072,POSIX,4K,1M,1,4,1,0,4K,0,1,4M,4
00073,test00073,POSIX,4K,1M,1,4,1,0,4K,1,0,1M,1
00074,test00074,POSIX,4K,1M,1,4,1,0,4K,1,0,1M,4
00075,test00075,POSIX,4K,1M,1,4,1,0,4K,1,0,4M,1
00076,test00076,POSIX,4K,1M,1,4,1,0,4K,1,0,4M,4
00077,test00077,POSIX,4K,1M,1,4,1,0,4K,1,1,1M,1
00078,test00078,POSIX,4K,1M,1,4,1,0,4K,1,1,1M,4
00079,test00079,POSIX,4K,1M,1,4,1,0,4K,1,1,4M,1
00080,test00080,POSIX,4K,1M,1,4,1,0,4K,1,1,4M,4
00081,test00081,POSIX,4K,1M,1,4,1,0,1M,0,0,1M,1
00082,test00082,POSIX,4K,1M,1,4,1,0,1M,0,0,1M,4
00083,test00083,POSIX,4K,1M,1,4,1,0,1M,0,0,4M,1
00084,test00084,POSIX,4K,1M,1,4,1,0,1M,0,0,4M,4
00085,test00085,POSIX,4K,1M,1,4,1,0,1M,0,1,1M,1
00086,test00086,POSIX,4K,1M,1,4,1,0,1M,0,1,1M,4
00087,test00087,POSIX,4K,1M,1,4,1,0,1M,0,1,4M,1
00088,test00088,POSIX,4K,1M,1,4,1,0,1M,0,1,4M,4
00089,test00089,POSIX,4K,1M,1,4,1,0,1M,1,0,1M,1
00090,test00090,POSIX,4K,1M,1,4,1,0,1M,1,0,1M,4
00091,test00091,POSIX,4K,1M,1,4,1,0,1M,1,0,4M,1
00092,test00092,POSIX,4K,1M,1,4,1,0,1M,1,0,4M,4
00093,test00093,POSIX,4K,1M,1,4,1,0,1M,1,1,1M,1
00094,test00094,POSIX,4K,1M,1,4,1,0,1M,1,1,1M,4
00095,test00095,POSIX,4K,1M,1,4,1,0,1M,1,1,4M,1
00096,test00096,POSIX,4K,1M,1,4,1,0,1M,1,1,4M,4
00097,test00097,POSIX,4K,1M,1,4,1,1,4K,0,0,1M,1
00098,test00098,POSIX,4K,1M,1,4,1,1,4K,0,0,1M,4
00099,test00099,POSIX,4K,1M,1,4,1,1,4K,0,0,4M,1
00100,test00100,POSIX,4K,1M,1,4,1,1,4K,0,0,4M,4
00101,test00101,POSIX,4K,1M,1,4,1,1,4K,0,1,1M,1
00102,test00102,POSIX,4K,1M,1,4,1,1,4K,0,1,1M,4
00103,test00103,POSIX,4K,1M,1,4,1,1,4K,0,1,4M,1
00104,test00104,POSIX,4K,1M,1,4,1,1,4K,0,1,4M,4
00105,test00105,POSIX,4K,1M,1,4,1,1,4K,1,0,1M,1
00106,test00106,POSIX,4K,1M,1,4,1,1,4K,1,0,1M,4
00107,test00107,POSIX,4K,1M,1,4,1,1,4K,1,0,4M,1
00108,test00108,POSIX,4K,1M,1,4,1,1,4K,1,0,4M,4
00109,test00109,POSIX,4K,1M,1,4,1,1,4K,1,1,1M,1
00110,test00110,POSIX,4K,1M,1,4,1,1,4K,1,1,1M,4
00111,test00111,POSIX,4K,1M,1,4,1,1,4K,1,1,4M,1
00112,test00112,POSIX,4K,1M,1,4,1,1,4K,1,1,4M,4
00113,test00113,POSIX,4K,1M,1,4,1,1,1M,0,0,1M,1
00114,test00114,POSIX,4K,1M,1,4,1,1,1M,0,0,1M,4
00115,test00115,POSIX,4K,1M,1,4,1,1,1M,0,0,4M,1
00116,test00116,POSIX,4K,1M,1,4,1,1,1M,0,0,4M,4
00117,test00117,POSIX,4K,1M,1,4,1,1,1M,0,1,1M,1
00118,test00118,POSIX,4K,1M,1,4,1,1,1M,0,1,1M,4
00119,test00119,POSIX,4K,1M,1,4,1,1,1M,0,1,4M,1
00120,test00120,POSIX,4K,1M,1,4,1,1,1M,0,1,4M,4
00121,test00121,POSIX,4K,1M,1,4,1,1,1M,1,0,1M,1
00122,test00122,POSIX,4K,1M,1,4,1,1,1M,1,0,1M,4
00123,test00123,POSIX,4K,1M,1,4,1,1,1M,1,0,4M,1
00124,test00124,POSIX,4K,1M,1,4,1,1,1M,1,0,4M,4
00125,test00125,POSIX,4K,1M,1,4,1,1,1M,1,1,1M,1
00126,test00126,POSIX,4K,1M,1,4,1,1,1M,1,1,1M,4
00127,test00127,POSIX,4K,1M,1,4,1,1,1M,1,1,4M,1
00128,test00128,POSIX,4K,1M,1,4,1,1,1M,1,1,4M,4
00129,test00129,POSIX,4K,1M,1,16,0,0,4K,0,0,1M,1
00130,test00130,POSIX,4K,1M,1,16,0,0,4K,0,0,1M,4
00131,test00131,POSIX,4K,1M,1,16,0,0,4K,0,0,4M,1
00132,test00132,POSIX,4K,1M,1,16,0,0,4K,0,0,4M,4
00133,test00133,POSIX,4K,1M,1,16,0,0,4K,0,1,1M,1
00134,test00134,POSIX,4K,1M,1,16,0,0,4K,0,1,1M,4
00135,test00135,POSIX,4K,1M,1,16,0,0,4K,0,1,4M,1
00136,test00136,POSIX,4K,1M,1,16,0,0,4K,0,1,4M,4
00137,test00137,POSIX,4K,1M,1,16,0,0,4K,1,0,1M,1
00138,test00138,POSIX,4K,1M,1,16,0,0,4K,1,0,1M,4
00139,test00139,POSIX,4K,1M,1,16,0,0,4K,1,0,4M,1
00140,test00140,POSIX,4K,1M,1,16,0,0,4K,1,0,4M,4
00141,test00141,POSIX,4K,1M,1,16,0,0,4K,1,1,1M,1
00142,test00142,POSIX,4K,1M,1,16,0,0,4K,1,1,1M,4
00143,test00143,POSIX,4K,1M,1,16,0,0,4K,1,1,4M,1
00144,test00144,POSIX,4K,1M,1,16,0,0,4K,1,1,4M,4
00145,test00145,POSIX,4K,1M,1,16,0,0,1M,0,0,1M,1
00146,test00146,POSIX,4K,1M,1,16,0,0,1M,0,0,1M,4
00147,test00147,POSIX,4K,1M,1,16,0,0,1M,0,0,4M,1
00148,test00148,POSIX,4K,1M,1,16,0,0,1M,0,0,4M,4
00149,test00149,POSIX,4K,1M,1,16,0,0,1M,0,1,1M,1
00150,test00150,POSIX,4K,1M,1,16,0,0,1M,0,1,1M,4
00151,test00151,POSIX,4K,1M,1,16,0,0,1M,0,1,4M,1
00152,test00152,POSIX,4K,1M,1,16,0,0,1M,0,1,4M,4
00153,test00153,POSIX,4K,1M,1,16,0,0,1M,1,0,1M,1
00154,test00154,POSIX,4K,1M,1,16,0,0,1M,1,0,1M,4
00155,test00155,POSIX,4K,1M,1,16,0,0,1M,1,0,4M,1
00156,test00156,POSIX,4K,1M,1,16,0,0,1M,1,0,4M,4
00157,test00157,POSIX,4K,1M,1,16,0,0,1M,1,1,1M,1
00158,test00158,POSIX,4K,1M,1,16,0,0,1M,1,1,1M,4
00159,test00159,POSIX,4K,1M,1,16,0,0,1M,1,1,4M,1
00160,test00160,POSIX,4K,1M,1,16,0,0,1M,1,1,4M,4
00161,test00161,POSIX,4K,1M,1,16,0,1,4K,0,0,1M,1
00162,test00162,POSIX,4K,1M,1,16,0,1,4K,0,0,1M,4
00163,test00163,POSIX,4K,1M,1,16,0,1,4K,0,0,4M,1
00164,test00164,POSIX,4K,1M,1,16,0,1,4K,0,0,4M,4
00165,test00165,POSIX,4K,1M,1,16,0,1,4K,0,1,1M,1
00166,test00166,POSIX,4K,1M,1,16,0,1,4K,0,1,1M,4
00167,test00167,POSIX,4K,1M,1,16,0,1,4K,0,1,4M,1
00168,test00168,POSIX,4K,1M,1,16,0,1,4K,0,1,4M,4
00169,test00169,POSIX,4K,1M,1,16,0,1,4K,1,0,1M,1
00170,test00170,POSIX,4K,1M,1,16,0,1,4K,1,0,1M,4
00171,test00171,POSIX,4K,1M,1,16,0,1,4K,1,0,4M,1
00172,test00172,POSIX,4K,1M,1,16,0,1,4K,1,0,4M,4
00173,test00173,POSIX,4K,1M,1,16,0,1,4K,1,1,1M,1
00174,test00174,POSIX,4K,1M,1,16,0,1,4K,1,1,1M,4
00175,test00175,POSIX,4K,1M,1,16,0,1,4K,1,1,4M,1
00176,test00176,POSIX,4K,1M,1,16,0,1,4K,1,1,4M,4
00177,test00177,POSIX,4K,1M,1,16,0,1,1M,0,0,1M,1
00178,test00178,POSIX,4K,1M,1,16,0,1,1M,0,0,1M,4
00179,test00179,POSIX,4K,1M,1,16,0,1,1M,0,0,4M,1
00180,test00180,POSIX,4K,1M,1,16,0,1,1M,0,0,4M,4
00181,test00181,POSIX,4K,1M,1,16,0,1,1M,0,1,1M,1
00182,test00182,POSIX,4K,1M,1,16,0,1,1M,0,1,1M,4
00183,test00183,POSIX,4K,1M,1,16,0,1,1M,0,1,4M,1
00184,test00184,POSIX,4K,1M,1,16,0,1,1M,0,1,4M,4
00185,test00185,POSIX,4K,1M,1,16,0,1,1M,1,0,1M,1
00186,test00186,POSIX,4K,1M,1,16,0,1,1M,1,0,1M,4
00187,test00187,POSIX,4K,1M,1,16,0,1,1M,1,0,4M,1
00188,test00188,POSIX,4K,1M,1,16,0,1,1M,1,0,4M,4
00189,test00189,POSIX,4K,1M,1,16,0,1,1M,1,1,1M,1
00190,test00190,POSIX,4K,1M,1,16,0,1,1M,1,1,1M,4
00191,test00191,POSIX,4K,1M,1,16,0,1,1M,1,1,4M,1
00192,test00192,POSIX,4K,1M,1,16,0,1,1M,1,1,4M,4
00193,test00193,POSIX,4K,1M,1,16,1,0,4K,0,0,1M,1
00194,test00194,POSIX,4K,1M,1,16,1,0,4K,0,0,1M,4
00195,test00195,POSIX,4K,1M,1,16,1,0,4K,0,0,4M,1
00196,test00196,POSIX,4K,1M,1,16,1,0,4K,0,0,4M,4
00197,test00197,POSIX,4K,1M,1,16,1,0,4K,0,1,1M,1
00198,test00198,POSIX,4K,1M,1,16,1,0,4K,0,1,1M,4
00199,test00199,POSIX,4K,1M,1,16,1,0,4K,0,1,4M,1
00200,test00200,POSIX,4K,1M,1,16,1,0,4K,0,1,4M,4
00201,test00201,POSIX,4K,1M,1,16,1,0,4K,1,0,1M,1
00202,test00202,POSIX,4K,1M,1,16,1,0,4K,1,0,1M,4
00203,test00203,POSIX,4K,1M,1,16,1,0,4K,1,0,4M,1
00204,test00204,POSIX,4K,1M,1,16,1,0,4K,1,0,4M,4
00205,test00205,POSIX,4K,1M,1,16,1,0,4K,1,1,1M,1
00206,test00206,POSIX,4K,1M,1,16,1,0,4K,1,1,1M,4
00207,test00207,POSIX,4K,1M,1,16,1,0,4K,1,1,4M,1
00208,test00208,POSIX,4K,1M,1,16,1,0,4K,1,1,4M,4
00209,test00209,POSIX,4K,1M,1,16,1,0,1M,0,0,1M,1
00210,test00210,POSIX,4K,1M,1,16,1,0,1M,0,0,1M,4
00211,test00211,POSIX,4K,1M,1,16,1,0,1M,0,0,4M,1
00212,test00212,POSIX,4K,1M,1,16,1,0,1M,0,0,4M,4
00213,test00213,POSIX,4K,1M,1,16,1,0,1M,0,1,1M,1
00214,test00214,POSIX,4K,1M,1,16,1,0,1M,0,1,1M,4
00215,test00215,POSIX,4K,1M,1,16,1,0,1M,0,1,4M,1
00216,test00216,POSIX,4K,1M,1,16,1,0,1M,0,1,4M,4
