config_id,testFile,api,transferSize,blockSize,segmentCount,numTasks,filePerProc,useStridedDatatype,setAlignment,useO_DIRECT,fsync,LUSTRE_STRIPE_SIZE,LUSTRE_STRIPE_WIDTH
00001,test00001,POSIX,100K,16M,256,16,1,0,4K,0,0,4M,4
00002,test00002,POSIX,100K,256M,1,4,1,0,1M,0,0,1M,1
00003,test00003,MPIIO,100K,1G,64,64,1,0,4K,0,0,4M,4
00004,test00004,MPIIO,64K,4M,16,4,1,0,1M,0,0,1M,4
00005,test00005,POSIX,100K,4M,256,4,1,0,4K,0,0,1M,4
00006,test00006,MPIIO,1M,256M,16,4,1,0,1M,0,0,1M,1
00007,test00007,MPIIO,4K,256M,64,64,1,0,1M,0,0,1M,4
00008,test00008,POSIX,10K,1M,64,64,1,0,4K,0,0,4M,1
00009,test00009,MPIIO,64K,1G,16,4,1,0,1M,0,0,4M,4
00010,test00010,MPIIO,1M,16M,256,16,1,0,1M,0,0,1M,1
00011,test00011,MPIIO,1M,1G,1,4,1,0,4K,0,0,4M,4
00012,test00012,MPIIO,4K,16M,64,4,1,0,4K,0,0,1M,4
00013,test00013,MPIIO,100K,1M,16,16,1,0,4K,0,0,4M,4
00014,test00014,POSIX,100K,256M,1,16,1,0,1M,0,0,1M,1
00015,test00015,MPIIO,10K,256M,16,16,1,0,1M,0,0,1M,4
00016,test00016,MPIIO,64K,1G,1,16,1,0,1M,0,0,1M,4
00017,test00017,POSIX,10K,1M,256,4,1,0,1M,0,0,1M,4
00018,test00018,MPIIO,100K,1M,16,16,1,0,1M,0,0,4M,4
00019,test00019,POSIX,100K,256M,1,64,1,0,4K,0,0,1M,1
00020,test00020,MPIIO,64K,16M,1,4,1,0,4K,0,0,1M,4
00021,test00021,MPIIO,10K,1M,64,16,1,0,4K,0,0,4M,1
00022,test00022,POSIX,4K,256M,1,4,1,0,4K,0,0,1M,1
00023,test00023,MPIIO,1M,1M,16,16,1,0,1M,0,0,4M,4
00024,test00024,POSIX,1M,16M,256,64,1,0,4K,0,0,1M,4
00025,test00025,POSIX,100K,256M,16,4,1,0,1M,0,0,4M,1
00026,test00026,MPIIO,10K,4M,1,4,1,0,4K,0,0,1M,1
00027,test00027,POSIX,64K,16M,64,4,1,0,4K,0,0,4M,1
00028,test00028,MPIIO,4K,1G,64,64,1,0,1M,0,0,4M,4
00029,test00029,MPIIO,64K,16M,16,16,1,0,1M,0,0,4M,1
00030,test00030,POSIX,100K,256M,1,64,1,0,4K,0,0,1M,4
00031,test00031,MPIIO,4K,1G,1,4,1,0,1M,0,0,4M,4
00032,test00032,MPIIO,4K,4M,256,16,1,0,1M,0,0,4M,1
00033,test00033,MPIIO,1M,1M,64,16,1,0,4K,0,0,1M,1
00034,test00034,POSIX,1M,1M,256,4,1,0,1M,0,0,4M,4
00035,test00035,MPIIO,4K,16M,1,64,1,0,4K,0,0,1M,1
00036,test00036,POSIX,4K,4M,1,64,1,0,4K,0,0,1M,4
00037,test00037,POSIX,100K,16M,1,16,1,0,4K,0,0,4M,4
00038,test00038,MPIIO,4K,1G,1,4,1,0,1M,0,0,4M,4
00039,test00039,MPIIO,1M,256M,16,16,1,0,1M,0,0,1M,1
00040,test00040,MPIIO,4K,1M,256,4,1,0,4K,0,0,1M,4
00041,test00041,MPIIO,100K,4M,64,64,1,0,4K,0,0,1M,4
00042,test00042,MPIIO,64K,1G,64,16,1,0,1M,0,0,1M,4
00043,test00043,POSIX,1M,1M,1,16,1,0,4K,0,0,4M,4
00044,test00044,MPIIO,1M,1G,256,16,1,0,4K,0,0,1M,4
00045,test00045,POSIX,64K,16M,256,64,1,0,1M,0,0,4M,4
00046,test00046,MPIIO,64K,16M,256,64,1,0,1M,0,0,1M,1
00047,test00047,POSIX,1M,16M,16,16,1,0,4K,0,0,1M,1
00048,test00048,POSIX,4K,1G,16,64,1,0,4K,0,0,4M,4
00049,test00049,POSIX,1M,1M,64,16,1,0,1M,0,0,1M,1
00050,test00050,POSIX,4K,16M,1,4,1,0,1M,0,0,1M,1
00051,test00051,POSIX,4K,256M,16,16,1,0,1M,0,0,1M,1
00052,test00052,POSIX,100K,4M,256,16,1,0,4K,0,0,4M,4
00053,test00053,MPIIO,1M,256M,16,4,1,0,4K,0,0,4M,1
00054,test00054,MPIIO,4K,4M,1,64,1,0,1M,0,0,1M,4
00055,test00055,MPIIO,64K,16M,1,4,1,0,4K,0,0,4M,1
00056,test00056,MPIIO,10K,256M,64,16,1,0,4K,0,0,4M,4
00057,test00057,POSIX,4K,1M,64,4,1,0,4K,0,0,4M,1
00058,test00058,POSIX,64K,256M,16,16,1,0,4K,0,0,4M,4
00059,test00059,MPIIO,100K,256M,256,64,1,0,1M,0,0,4M,4
00060,test00060,MPIIO,100K,1G,64,64,1,0,4K,0,0,1M,1
00061,test00061,MPIIO,64K,4M,256,16,1,0,4K,0,0,4M,4
00062,test00062,MPIIO,1M,1G,256,16,1,0,1M,0,0,1M,1
00063,test00063,POSIX,100K,4M,16,4,1,0,4K,0,0,4M,4
00064,test00064,MPIIO,1M,1G,16,64,1,0,4K,0,0,4M,4
00065,test00065,POSIX,100K,16M,64,64,1,0,4K,0,0,1M,1
00066,test00066,MPIIO,10K,256M,1,16,1,0,1M,0,0,4M,4
00067,test00067,MPIIO,1M,4M,256,64,1,0,4K,0,0,4M,4
00068,test00068,POSIX,10K,1G,1,16,1,0,4K,0,0,1M,4
00069,test00069,MPIIO,10K,1M,256,64,1,0,1M,0,0,1M,4
00070,test00070,POSIX,1M,1M,64,4,1,0,4K,0,0,4M,4
00071,test00071,POSIX,4K,4M,16,64,1,0,4K,0,0,4M,4
00072,test00072,MPIIO,100K,16M,1,4,1,0,1M,0,0,1M,4
00073,test00073,POSIX,1M,256M,256,64,1,0,1M,0,0,1M,4
00074,test00074,POSIX,64K,256M,1,16,1,0,1M,0,0,1M,1
00075,test00075,POSIX,1M,1M,16,64,1,0,1M,0,0,4M,4
00076,test00076,MPIIO,1M,1G,1,64,1,0,1M,0,0,1M,4
00077,test00077,MPIIO,10K,1G,256,4,1,0,1M,0,0,4M,1
00078,test00078,MPIIO,100K,1M,256,16,1,0,4K,0,0,4M,1
00079,test00079,POSIX,4K,256M,256,4,1,0,1M,0,0,4M,1
00080,test00080,MPIIO,100K,256M,256,16,1,0,1M,0,0,1M,4
00081,test00081,POSIX,4K,4M,16,16,1,0,1M,0,0,4M,4
00082,test00082,MPIIO,4K,256M,1,4,1,0,4K,0,0,1M,4
00083,test00083,MPIIO,100K,1G,256,64,1,0,4K,0,0,4M,1
00084,test00084,MPIIO,4K,1G,16,64,1,0,4K,0,0,1M,1
00085,test00085,MPIIO,1M,1G,256,4,1,0,1M,0,0,4M,1
00086,test00086,POSIX,4K,4M,1,64,1,0,4K,0,0,1M,4
00087,test00087,POSIX,4K,1M,64,4,1,0,1M,0,0,4M,4
00088,test00088,MPIIO,4K,1M,1,4,1,0,1M,0,0,4M,4
00089,test00089,MPIIO,64K,1G,1,16,1,0,4K,0,0,4M,4
00090,test00090,POSIX,10K,16M,256,64,1,0,1M,0,0,1M,4
00091,test00091,POSIX,1M,256M,16,64,1,0,1M,0,0,4M,1
00092,test00092,MPIIO,1M,4M,1,64,1,0,4K,0,0,1M,4
00093,test00093,POSIX,100K,16M,256,16,1,0,1M,0,0,4M,1
00094,test00094,POSIX,100K,1M,256,16,1,0,4K,0,0,1M,1
00095,test00095,POSIX,4K,256M,1,16,1,0,1M,0,0,4M,1
00096,test00096,MPIIO,10K,1M,1,4,1,0,1M,0,0,4M,4
