file,nprocs,POSIX_OPENS,LUSTRE_STRIPE_SIZE,LUSTRE_STRIPE_WIDTH,POSIX_FILENOS,POSIX_MEM_ALIGNMENT,POSIX_FILE_ALIGNMENT,POSIX_READS,POSIX_WRITES,POSIX_SEEKS,POSIX_STATS,POSIX_BYTES_READ,POSIX_BYTES_WRITTEN,POSIX_CONSEC_READS,POSIX_CONSEC_WRITES,POSIX_SEQ_READS,POSIX_SEQ_WRITES,POSIX_RW_SWITCHES,POSIX_MEM_NOT_ALIGNED,POSIX_FILE_NOT_ALIGNED,POSIX_SIZE_READ_0_100,POSIX_SIZE_READ_100_1K,POSIX_SIZE_READ_1K_10K,POSIX_SIZE_READ_100K_1M,POSIX_SIZE_WRITE_0_100,POSIX_SIZE_WRITE_100_1K,POSIX_SIZE_WRITE_1K_10K,POSIX_SIZE_WRITE_10K_100K,POSIX_SIZE_WRITE_100K_1M,POSIX_STRIDE1_STRIDE,POSIX_STRIDE2_STRIDE,POSIX_STRIDE3_STRIDE,POSIX_STRIDE4_STRIDE,POSIX_STRIDE1_COUNT,POSIX_STRIDE2_COUNT,POSIX_STRIDE3_COUNT,POSIX_STRIDE4_COUNT,POSIX_ACCESS1_ACCESS,POSIX_ACCESS2_ACCESS,POSIX_ACCESS3_ACCESS,POSIX_ACCESS4_ACCESS,POSIX_ACCESS1_COUNT,POSIX_ACCESS2_COUNT,POSIX_ACCESS3_COUNT,POSIX_ACCESS4_COUNT,tag
mbanisha_date_id3114314-3114314_6-23-46956-4320651152909674177_1.darshan,0,2.0,0.0,0.0,2.0,16.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mbanisha_date_id3114315-3114315_6-23-46957-2793180899436746976_1.darshan,0,2.0,0.0,0.0,2.0,16.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mbanisha_date_id3114316-3114316_6-23-46958-7858742080224175864_1.darshan,0,2.0,0.0,0.0,2.0,16.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mbanisha_date_id3117149-3117149_6-23-47437-5178851444877360031_1.darshan,0,2.0,0.0,0.0,2.0,16.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mbanisha_date_id3117150-3117150_6-23-47437-14915093115612971396_1.darshan,0,2.0,0.0,0.0,2.0,16.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mbanisha_date_id3117151-3117151_6-23-47438-10743387595587921832_1.darshan,0,2.0,0.0,0.0,2.0,16.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mbanisha_ior_id3117157-3117157_6-23-47438-15638269062543305261_1.darshan,0,1453.0,0.0,0.0,11.0,2056.0,254844924.0,2.0,83.0,80.0,222.0,4144.0,83894360.0,1.0,76.0,1.0,76.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056848.0,8.0,0.0,0.0,83.0,2.0,0.0,0.0,391261076.9898009
mbanisha_ior_id3117158-3117158_6-23-47438-7154519009997044278_1.darshan,0,1452.0,0.0,0.0,11.0,2056.0,254844924.0,3.0,80.0,80.0,222.0,8280.0,83886080.0,1.0,75.0,1.0,75.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056848.0,8.0,0.0,0.0,82.0,1.0,0.0,0.0,448872980.20331734
mbanisha_ior_id3117159-3117159_6-23-47439-4426860085969215747_1.darshan,0,1452.0,0.0,0.0,11.0,2056.0,254844924.0,3.0,80.0,80.0,222.0,8280.0,83886080.0,1.0,75.0,1.0,75.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056848.0,8.0,0.0,0.0,82.0,1.0,0.0,0.0,445107782.7473327
mbanisha_ior_id3117162-3117162_6-23-47441-1503106719059387_1.darshan,0,1452.0,0.0,0.0,11.0,2056.0,254844924.0,3.0,80.0,80.0,222.0,8280.0,83886080.0,1.0,75.0,1.0,75.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056848.0,8.0,0.0,0.0,82.0,1.0,0.0,0.0,517036607.9132257
mbanisha_ior_id3117165-3117165_6-23-47441-12870766934362739465_1.darshan,0,1452.0,0.0,0.0,11.0,2056.0,254844924.0,3.0,80.0,80.0,222.0,8280.0,83886080.0,1.0,75.0,1.0,75.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056848.0,8.0,0.0,0.0,82.0,1.0,0.0,0.0,394079300.28606725
mbanisha_ior_id3117167-3117167_6-23-47441-11728426056898197407_1.darshan,0,1452.0,0.0,0.0,11.0,2056.0,254844924.0,3.0,80.0,80.0,222.0,8280.0,83886080.0,1.0,75.0,1.0,75.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056848.0,8.0,0.0,0.0,82.0,1.0,0.0,0.0,573021508.534428
mbanisha_ior_id3117169-3117169_6-23-47441-9184901930335858438_1.darshan,0,1452.0,0.0,0.0,11.0,2056.0,254844924.0,3.0,80.0,80.0,222.0,8280.0,83886080.0,1.0,75.0,1.0,75.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056848.0,8.0,0.0,0.0,82.0,1.0,0.0,0.0,544139630.8163292
mbanisha_ior_id3117170-3117170_6-23-47441-15949319364649855055_1.darshan,0,1452.0,0.0,0.0,11.0,2056.0,254844924.0,3.0,80.0,80.0,222.0,8280.0,83886080.0,1.0,75.0,1.0,75.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056848.0,8.0,0.0,0.0,82.0,1.0,0.0,0.0,501949658.0649407
mbanisha_mkdir_id3113441-3113441_6-23-46860-7149747109704515481_1.darshan,0,1.0,0.0,0.0,1.0,8.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mbanisha_mkdir_id3114313-3114313_6-23-46955-1500483170907614887_1.darshan,0,1.0,0.0,0.0,1.0,8.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
