nprocs,POSIX_OPENS,LUSTRE_STRIPE_SIZE,LUSTRE_STRIPE_WIDTH,POSIX_FILENOS,POSIX_MEM_ALIGNMENT,POSIX_FILE_ALIGNMENT,POSIX_READS,POSIX_WRITES,POSIX_SEEKS,POSIX_STATS,POSIX_BYTES_READ,POSIX_BYTES_WRITTEN,POSIX_CONSEC_READS,POSIX_CONSEC_WRITES,POSIX_SEQ_READS,POSIX_SEQ_WRITES,POSIX_RW_SWITCHES,POSIX_MEM_NOT_ALIGNED,POSIX_FILE_NOT_ALIGNED,POSIX_SIZE_READ_0_100,POSIX_SIZE_READ_100_1K,POSIX_SIZE_READ_1K_10K,POSIX_SIZE_READ_100K_1M,POSIX_SIZE_WRITE_0_100,POSIX_SIZE_WRITE_100_1K,POSIX_SIZE_WRITE_1K_10K,POSIX_SIZE_WRITE_10K_100K,POSIX_SIZE_WRITE_100K_1M,POSIX_STRIDE1_STRIDE,POSIX_STRIDE2_STRIDE,POSIX_STRIDE3_STRIDE,POSIX_STRIDE4_STRIDE,POSIX_STRIDE1_COUNT,POSIX_STRIDE2_COUNT,POSIX_STRIDE3_COUNT,POSIX_STRIDE4_COUNT,POSIX_ACCESS1_ACCESS,POSIX_ACCESS2_ACCESS,POSIX_ACCESS3_ACCESS,POSIX_ACCESS4_ACCESS,POSIX_ACCESS1_COUNT,POSIX_ACCESS2_COUNT,POSIX_ACCESS3_COUNT,POSIX_ACCESS4_COUNT,tag
0,48.0,0.0,0.0,40.0,1240.0,152068092.0,1.0,31.0,1.0,220.0,18.0,3749.0,0.0,28.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,556.0,111.0,103.0,7.0,3.0,2.0,2.0,3618635.926993278
0,47.0,0.0,0.0,37.0,1248.0,151027708.0,1.0,38.0,1.0,220.0,18.0,5161.0,0.0,35.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,660.0,509.0,467.0,10.0,3.0,3.0,2.0,4344798.657718123
0,48.0,0.0,0.0,40.0,1240.0,152068092.0,1.0,39.0,1.0,220.0,18.0,5373.0,0.0,36.0,0.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.0,290.0,111.0,103.0,14.0,4.0,2.0,2.0,3075299.4865944115
0,47.0,0.0,0.0,37.0,1248.0,151027708.0,1.0,38.0,1.0,220.0,18.0,5170.0,0.0,35.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,660.0,481.0,466.0,10.0,3.0,3.0,2.0,3142337.9769836487
0,47.0,0.0,0.0,37.0,1248.0,151027708.0,1.0,46.0,1.0,220.0,18.0,5191.0,0.0,43.0,0.0,43.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,158.0,367.0,375.0,10.0,4.0,3.0,2.0,4134126.984126983
0,50.0,0.0,0.0,42.0,1248.0,153116668.0,2.0,141.0,1.0,220.0,18.0,25609.0,0.0,138.0,0.0,138.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,68.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.0,410.0,146.0,93.0,109.0,4.0,3.0,3.0,24808325.266214922
0,52.0,0.0,0.0,42.0,1264.0,153124860.0,1.0,48.0,1.0,222.0,18.0,12077.0,0.0,45.0,0.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1341.0,420.0,93.0,111.0,7.0,4.0,3.0,2.0,10112876.254180608
0,47.0,0.0,0.0,37.0,1248.0,151027708.0,1.0,36.0,1.0,220.0,18.0,5170.0,0.0,33.0,0.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,851.0,652.0,466.0,10.0,3.0,3.0,2.0,4785977.859778601
0,47.0,0.0,0.0,37.0,1248.0,151027708.0,1.0,38.0,1.0,220.0,18.0,5194.0,0.0,35.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,660.0,509.0,470.0,10.0,3.0,3.0,2.0,4708220.41553749
0,48.0,0.0,0.0,40.0,1240.0,152068092.0,1.0,57.0,1.0,220.0,18.0,8988.0,0.0,54.0,0.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0,289.0,110.0,102.0,32.0,4.0,2.0,2.0,8285188.5924563045
